Accession	Name	Source Database	Type	Integrated Into	Integrated Signatures	GO Terms
PF16209	Phospholipid-translocating ATPase N-terminal	pfam	family	IPR032631		
PF16210	Keratin type II cytoskeletal 1 tail	pfam	unknown	IPR032449		
PF16211	C-terminus of histone H2A	pfam	family	IPR032454		
PF16212	Phospholipid-translocating P-type ATPase C-terminal	pfam	family	IPR032630		
PF16213	Dimerisation and cyclophilin-binding domain of Mon2	pfam	family	IPR032629		
PF16214	Adenylyl cyclase N-terminal extracellular and transmembrane region	pfam	family	IPR032628		
PF16218	Peptidase family C101	pfam	family	IPR023235		
PF16273	Nuclear distribution C domain	pfam	domain	IPR032572		
PF16274	Qua1 domain	pfam	domain	IPR032571		
PF16275	Splicing factor 1 helix-hairpin domain	pfam	domain	IPR032570		
PF16276	Nucleophosmin C-terminal domain	pfam	domain	IPR032569		
PF16278	C2HE / C2H2 / C2HC zinc-binding finger	pfam	domain	IPR032566		
PF16279	Domain of unknown function (DUF4927)	pfam	family	IPR032565		
PF16282	SANT/Myb-like domain of DAMP1	pfam	domain	IPR032563		
PF16294	RNSP1-SAP18 binding (RSB) motif	pfam	conserved_site	IPR032552		
PF16297	Domain of unknown function (DUF4939)	pfam	family	IPR032549		
PF16300	Type of WD40 repeat	pfam	repeat			
PF16311	Transmembrane protein 100	pfam	family	IPR032536		
PF16317	Glycosyl hydrolase family 99	pfam	domain	IPR026071		
PF16320	Ribosomal protein L7/L12 dimerisation domain	pfam	domain	IPR008932		
PF16322	Tubby N-terminal	pfam	family	IPR005398		
PF16332	Domain of unknown function (DUF4962)	pfam	family	IPR032518		
PF16347	Domain of unknown function (DUF4976)	pfam	family	IPR032506		
PF16350	FAD dependent oxidoreductase central domain	pfam	family	IPR032503		
PF16353	Domain of unknown function (DUF4981)	pfam	domain	IPR032312		
PF16360	GTP-binding GTPase Middle Region	pfam	family	IPR032305		
PF16363	GDP-mannose 4,6 dehydratase	pfam	domain	IPR016040		
PF16366	Cytoplasmic polyadenylation element-binding protein ZZ domain	pfam	domain	IPR032296		
PF16367	RNA recognition motif	pfam	domain	IPR000504		
PF16368	Cytoplasmic polyadenylation element-binding protein 1 N-terminus	pfam	family	IPR032292		
PF16381	Coatomer subunit gamma-1 C-terminal appendage platform	pfam	domain	IPR032154		
PF16399	Intron-binding protein aquarius N-terminus	pfam	family	IPR032174		
PF16401	Domain of unknown function (DUF5009)	pfam	family	IPR032176		
PF16413	DNA mismatch repair protein Mlh1 C-terminus	pfam	domain	IPR032189		
PF16414	Niemann-Pick C1 N terminus	pfam	domain	IPR032190		
PF16415	CCR4-NOT transcription complex subunit 1 CAF1-binding domain	pfam	domain	IPR032191		
PF16417	CCR4-NOT transcription complex subunit 1 TTP binding domain	pfam	domain	IPR032193		
PF16418	CCR4-NOT transcription complex subunit 1 HEAT repeat	pfam	domain	IPR032194		
PF16420	Ubiquitin-like modifier-activating enzyme ATG7 N-terminus	pfam	domain	IPR032197		
PF16421	E2F transcription factor CC-MB domain	pfam	domain	IPR032198		
PF16422	Transcription factor COE1 DNA-binding domain	pfam	domain	IPR032200		
PF16423	Transcription factor COE1 helix-loop-helix domain	pfam	domain	IPR032201		
PF16450	Proteasomal ATPase OB C-terminal domain	pfam	domain	IPR032501		
PF16453	PH domain	pfam	domain	IPR033742		
PF16454	Phosphatidylinositol 3-kinase regulatory subunit P85 inter-SH2 domain	pfam	domain	IPR032498		
PF16455	Ubiquitin-binding domain	pfam	domain	IPR032752		
PF16457	Pleckstrin homology domain	pfam	domain	IPR001849		
PF16470	Peptidase S8 pro-domain	pfam	domain	IPR032815		
PF16471	JNK-interacting protein leucine zipper II	pfam	unknown	IPR032486		
PF16472	Domain of unknown function (DUF5050)	pfam	repeat	IPR032485		
PF16474	Kinase non-catalytic C-lobe domain	pfam	domain	IPR011019		
PF16482	Staufen C-terminal domain	pfam	domain	IPR032478		
PF16484	Carnitine O-palmitoyltransferase N-terminus	pfam	domain	IPR032476		
PF16486	N-terminal domain of argonaute	pfam	domain	IPR032474		
PF16487	Mid domain of argonaute	pfam	domain	IPR032473		
PF16488	"Argonaute linker 2 domain "	pfam	family	IPR032472		
PF16489	GPCR-Autoproteolysis INducing (GAIN) domain	pfam	domain	IPR032471		
PF16491	CAAX prenyl protease N-terminal, five membrane helices	pfam	domain	IPR032456		
PF16492	Cadherin cytoplasmic C-terminal	pfam	family	IPR032455		
PF16493	N-terminal of Homeobox Meis and PKNOX1	pfam	family	IPR032453		
PF16494	C-terminal extension of sodium/calcium exchanger domain	pfam	family	IPR032452		
PF16495	SWIRM-associated region 1	pfam	family	IPR032451		
PF16496	SWIRM-associated domain at the N-terminal	pfam	family	IPR032450		
PF16497	MHC-I family domain	pfam	domain	IPR011161		
PF16498	SWIRM-associated domain at the C-terminal	pfam	family	IPR032448		
PF16499	Alpha galactosidase A	pfam	family	IPR002241		
PF16500	Cyclin-A N-terminal APC/C binding region	pfam	unknown	IPR032447		
PF16501	S phase cyclin A-associated protein in the endoplasmic reticulum	pfam	family	IPR032446		
PF16503	Zinc-ribbon	pfam	family	IPR032442		
PF16507	Proteasome-substrate-size regulator, mid region	pfam	family	IPR032430		
PF16508	Second BRCT domain on Nijmegen syndrome breakage protein	pfam	domain	IPR032429		
PF16511	N-terminal or F0 domain of Talin-head FERM	pfam	domain	IPR032425		
PF16512	p190-A and -B Rho GAPs FF domain	pfam	domain	IPR032835		
PF16515	Clathrin-binding domain of Huntingtin-interacting protein 1	pfam	unknown	IPR032422		
PF16516	Leucine zipper of domain CC2 of NEMO, NF-kappa-B essential modulator	pfam	unknown	IPR032419		
PF16517	Novel Ras effector 1 C-terminal SARAH (Sav/Rassf/Hpo) domain	pfam	domain	IPR011524		
PF16519	Tetramerisation domain of TRPM	pfam	domain	IPR032415		
PF16521	Myosin VI cargo binding domain	pfam	domain	IPR032412		
PF16523	betaPIX coiled coil	pfam	unknown	IPR032409		
PF16526	"C-terminal leucine zipper domain of cyclic nucleotide-gated channels "	pfam	unknown	IPR032406		
PF16528	Exocyst component 84 C-terminal	pfam	domain	IPR032403		
PF16529	WD40 region of Ge1, enhancer of mRNA-decapping protein	pfam	repeat	IPR032401		
PF16531	Centriolar protein SAS N-terminal	pfam	domain	IPR032396		
PF16533	STIM1 Orai1-activating region	pfam	domain	IPR032393		
PF16534	Ubiquitin-like oligomerisation domain of SATB	pfam	domain	IPR032392		
PF16540	Arf6-interacting domain of mitotic kinesin-like protein 1	pfam	domain	IPR032384		
PF16543	DRG Family Regulatory Proteins, Tma46	pfam	domain	IPR032378		
PF16544	Homodimerisation region of STAR domain protein	pfam	domain	IPR032377		
PF16545	"Cerebral cavernous malformation protein, harmonin-homology "	pfam	domain	IPR032375		
PF16546	Homodimerisation domain of SGTA	pfam	domain	IPR032374		
PF16550	UCH-binding domain	pfam	domain	IPR032368		
PF16551	Putative nuclear localisation signal of quaking	pfam	domain	IPR032367		
PF16553	BCORL-PCGF1-binding domain	pfam	domain	IPR032365		
PF16556	Interleukin-17 receptor, fibronectin-III-like domain 1	pfam	domain	IPR032356		
PF16557	CUT1-like DNA-binding domain of SATB	pfam	domain	IPR032355		
PF16558	Amino-terminal Zinc-binding domain of ubiquitin ligase E3A	pfam	domain	IPR032353		
PF16559	GIT coiled-coil Rho guanine nucleotide exchange factor	pfam	unknown	IPR032352		
PF16561	Glycogen recognition site of AMP-activated protein kinase	pfam	family	IPR032640		
PF16562	N-terminal domain of E3 ubiquitin-protein ligase HECW1 and 2	pfam	domain	IPR032348		
PF16563	Coiled-coil and interaction region of P66A and P66B with MBD2	pfam	unknown	IPR032346		
PF16564	p55-binding region of Methyl-CpG-binding domain proteins MBD	pfam	domain	IPR032343		
PF16565	Phospholipase D-like domain at C-terminus of MIT	pfam	domain	IPR032341		
PF16566	Cell-cycle alteration and expression-elevated protein in tumour	pfam	domain	IPR032337		
PF16568	Tyrosine-rich domain of Sam68	pfam	domain	IPR032335		
PF16573	N-terminal beta-sandwich domain of polyadenylation factor	pfam	family	IPR032324		
PF16574	Coiled-coil region of centrosome protein CE290	pfam	unknown	IPR032321		
PF16575	mRNA cleavage and polyadenylation factor CLP1 P-loop	pfam	domain	IPR032319		
PF16577	UBA domain	pfam	domain	IPR033741		
PF16578	Interleukin 17 receptor D	pfam	domain			
PF16579	Adenylate sensor of SNF1-like protein kinase	pfam	domain	IPR032270		
PF16588	C2H2 zinc-finger	pfam	domain			
PF16589	BRCT domain, a BRCA1 C-terminus domain	pfam	family	IPR001357		
PF16597	Thyroglobulin_1 repeat associated disordered domain	pfam	unknown			
PF16598	Linker region of enhancer of mRNA-decapping protein 3	pfam	family			
PF16599	Unstructured linker region on PTN13 protein between PDZ	pfam	family			
PF16600	Caskin1 CASK-interaction domain	pfam	family	IPR032232		
PF16601	Rabosyn-5 repeating NPF sequence-motif	pfam	unknown			
PF16602	Linker region of USP19 deubiquitinase	pfam	unknown			
PF16605	"LSM-interacting associated unstructured "	pfam	unknown			
PF16606	Unstructured conserved, between two C2H2-type zinc-fingers	pfam	unknown			
PF16607	Phosphorylation region of CYLD, unstructured	pfam	unknown			
PF16608	TNRC6-PABC binding domain	pfam	unknown	IPR032226		
PF16609	SH3-RhoGEF linking unstructured region	pfam	unknown			
PF16610	Unstructured region between two PDZ domains on Dlg5	pfam	unknown			
PF16611	Unstructured region between RBD and GoLoco	pfam	unknown			
PF16612	C-terminal unstructured region of RGS12	pfam	unknown			
PF16613	Unstructured region of RGS12	pfam	unknown			
PF16614	Unstructured region two on RhoGEF 6 and 7	pfam	unknown			
PF16615	Unstructured region one on RhoGEF 6 and 7	pfam	unknown			
PF16616	Unstructured region on Polyhomeotic-like protein 1 and 2	pfam	unknown			
PF16617	Intersectin and clathrin adaptor AP2 binding region	pfam	unknown	IPR032140		
PF16618	Linker region between SH3 and WW domains on ARHGAP12	pfam	unknown			
PF16619	Unstructured region C-term to UIM in Ataxin3	pfam	unknown			
PF16620	Unstructured linker between I-set domains 2 and 3 on MYLCK	pfam	unknown			
PF16621	SH3 terminal domain of 2nd SH3 on Neutrophil cytosol factor 1	pfam	unknown	IPR032136		
PF16622	zinc-finger C2H2-type	pfam	domain	IPR041697		
PF16623	Unstructured linker region between on GAS7 protein	pfam	unknown			
PF16624	Unstructured region upstream of a zinc-finger	pfam	unknown			
PF16625	Unstructured linking region I-set and fnIII on Brother of CDO	pfam	unknown			
PF16626	Linking region between Kunitz_BPTI and I-set on papilin	pfam	unknown			
PF16629	Armadillo-associated region on APC	pfam	unknown			
PF16630	Unstructured region on APC between 1st and 2nd catenin-bdg motifs	pfam	unknown			
PF16631	Unstructured region 4 on terminal uridylyltransferase 7	pfam	unknown			
PF16632	C-terminal region of Caskin	pfam	unknown	IPR032117		
PF16633	Unstructured region on APC between 1st two creatine-rich regions	pfam	unknown			
PF16634	Unstructured region on APC between APC_crr and SAMP	pfam	unknown			
PF16635	Unstructured region on APC between SAMP and APC_crr	pfam	unknown			
PF16636	Unstructured region on APC between APC_crr regions 5 and 6	pfam	unknown			
PF16637	Putative zinc-finger between two C2H2 zinc-fingers on Patz	pfam	unknown			
PF16638	Unstructured region on methyltransferase between zinc-fingers	pfam	unknown			
PF16641	CLIP1 zinc knuckle	pfam	family	IPR032108		
PF16642	Unstructured region on Potassium channel subunit alpha KvLQT2	pfam	unknown			
PF16644	Regulatory region of Na+/H+ exchanger NHE binds to calmodulin	pfam	domain	IPR032103		
PF16646	Axin-1 tankyrase binding domain	pfam	unknown	IPR032101		
PF16647	Granulocyte colony-stimulating factor	pfam	domain	IPR040117		
PF16648	Unstructured region on Calpain-3	pfam	unknown			
PF16649	Interleukin 23 subunit alpha	pfam	domain	IPR010831		
PF16650	Unstructured region on SPEG complex protein	pfam	unknown			
PF16652	Pleckstrin homology domain	pfam	domain	IPR001849		
PF16653	Saccharopine dehydrogenase C-terminal domain	pfam	domain	IPR032095		
PF16656	Purple acid Phosphatase, N-terminal domain	pfam	domain	IPR015914		
PF16660	PHD finger protein 20-like protein 1	pfam	unknown			
PF16661	Metallo-beta-lactamase superfamily domain	pfam	domain	IPR001279		
PF16662	FLYWCH-type zinc finger-containing protein 1	pfam	unknown			
PF16663	"Unstructured region on MAGI "	pfam	unknown			
PF16664	Unstructured on SH3 and cysteine-rich domain-containing protein 2	pfam	unknown			
PF16665	Unstructured region on nuclear receptor coactivator protein	pfam	unknown			
PF16666	Unstructured region on MAGI	pfam	unknown			
PF16667	Unstructured region 10 on multiple PDZ protein	pfam	unknown	IPR032078		
PF16669	Tetratricopeptide repeat protein 5 OB fold domain	pfam	domain	IPR032076		
PF16672	Ragulator complex protein LAMTOR5	pfam	domain	IPR024135		
PF16673	TNF receptor-associated factor BIRC3 binding domain	pfam	unknown	IPR032070		
PF16674	N-terminal of ubiquitin carboxyl-terminal hydrolase 37	pfam	domain	IPR032069		
PF16675	KIX-binding domain of forkhead box O, CR2	pfam	family	IPR032068		
PF16676	Transactivation domain of FOXO protein family	pfam	domain	IPR032067		
PF16678	HOIP UBA domain pair	pfam	family	IPR032065		
PF16679	DNA replication factor Cdt1 C-terminal domain	pfam	domain	IPR032054		
PF16680	"T-cell surface glycoprotein CD3 delta chain "	pfam	domain	IPR032052		
PF16681	Ig-like domain on T-cell surface glycoprotein CD3 epsilon chain	pfam	domain			
PF16682	CXC domain of E3 ubiquitin-protein ligase MSL2	pfam	domain	IPR032049		
PF16685	zinc RING finger of MSL2	pfam	domain	IPR032043		
PF16686	ssDNA-binding domain of telomere protection protein	pfam	domain	IPR032042		
PF16687	beta-propeller of ELYS nucleoporin	pfam	domain	IPR032040		
PF16689	Coiled-coil N-terminus of APC, dimerisation domain	pfam	unknown	IPR032038		
PF16690	Methylmalonic aciduria and homocystinuria type C family	pfam	domain	IPR032037		
PF16692	Folliculin C-terminal domain	pfam	domain	IPR032035		
PF16696	Zinc finger FYVE domain-containing protein 21 C-terminus	pfam	domain	IPR032031		
PF16698	Membrane-proximal domain, switch, for ADAM17	pfam	domain	IPR032029		
PF16699	Cleavage stimulation factor subunit 1, dimerisation domain	pfam	domain	IPR032028		
PF16700	Synphilin-1 alpha-Synuclein-binding domain	pfam	domain	IPR032027		
PF16704	Rab binding domain	pfam	domain	IPR032023		
PF16705	NUDIX, or N-terminal NPxY motif-rich,  region of KRIT	pfam	domain	IPR032022		
PF16706	Izumo-like Immunoglobulin domain	pfam	domain	IPR032699		
PF16716	Bone marrow stromal antigen 2	pfam	domain	IPR024886		
PF16717	Ribosome-associated complex head domain	pfam	domain	IPR032003		
PF16725	Nucleolin binding domain	pfam	domain	IPR031996		
PF16726	Inositol polyphosphate 5-phosphatase clathrin binding domain	pfam	domain	IPR031995		
PF16727	DNA repair protein REV1 C-terminal domain	pfam	domain	IPR031991		
PF16735	Unconventional myosin-X coiled coil domain	pfam	unknown	IPR031971		
PF16737	PHD finger protein 12 MRG binding domain	pfam	domain	IPR031966		
PF16739	Caspase recruitment domain	pfam	domain	IPR031964		
PF16740	Spindle and kinetochore-associated protein 2	pfam	domain	IPR042091		
PF16741	mRNA-decapping enzyme C-terminus	pfam	domain	IPR031953		
PF16742	N-terminus of interleukin 17 receptor D	pfam	family	IPR031951		
PF16744	KIAA1045 RING finger	pfam	domain	IPR031946		
PF16746	BAR domain of APPL family	pfam	domain			
PF16748	Inscuteable LGN-binding domain	pfam	domain	IPR031938		
PF16752	Tubulin-specific chaperone C N-terminal domain	pfam	domain	IPR031925		
PF16756	Partner and localizer of BRCA2 WD40 domain	pfam	repeat	IPR031920		
PF16757	Alpha-L-fucosidase C-terminal domain	pfam	domain	IPR031919		
PF16759	DNA ligase 3 BRCT domain	pfam	family	IPR031916		
PF16764	Sharpin PH domain	pfam	domain	IPR031912		
PF16766	Binding region of GANP to ENY2	pfam	family	IPR031910		
PF16768	Nucleoporin homology of Germinal-centre associated nuclear protein	pfam	family	IPR031908		
PF16769	MCM3AP domain of GANP	pfam	family	IPR031907		
PF16770	Regulator of Ty1 transposition protein 107 BRCT domain	pfam	domain	IPR001357		
PF16772	Telomeric repeat-binding factor 2 Rap1-binding motif	pfam	domain	IPR031902		
PF16776	Type II inositol 1,4,5-trisphosphate 5-phosphatase PH domain	pfam	domain	IPR031896		
PF16780	AIMP2 lysyl-tRNA synthetase binding domain	pfam	domain	IPR031889		
PF16783	FANCM to MHF binding domain	pfam	domain	IPR031879		
PF16784	Putative HNHc nuclease	pfam	family	IPR041242		
PF16788	ATF-interacting protein binding domain	pfam	family	IPR031870		
PF16791	Connexin 40 C-terminal domain	pfam	domain	IPR031862		
PF16794	Fibronectin-III type domain	pfam	domain	IPR003961		
PF16799	C-terminal membrane-localisation domain of ion-channel, VCN1	pfam	unknown	IPR031844		
PF16801	Dimerisation domain of Male-specific-Lethal 1	pfam	unknown	IPR031840		
PF16808	Coiled-coil N-terminus of cGMP-dependent protein kinase	pfam	unknown	IPR031831		
PF16832	Erythroid krueppel-like transcription factor, transactivation 1	pfam	conserved_site	IPR031786		
PF16833	Erythroid krueppel-like transcription factor, transactivation 2	pfam	domain	IPR031784		
PF16835	Pre-mRNA-splicing factor SF3a complex subunit 2 (Prp11)	pfam	domain	IPR031781		
PF16837	Pre-mRNA-splicing factor SF3A3, of SF3a complex, Prp9	pfam	domain	IPR031774		
PF16840	Actin-like protein 7A N-terminus	pfam	domain	IPR031769		
PF16858	Condensin II complex subunit CAP-H2 or CNDH2, C-term	pfam	family	IPR031737		
PF16860	CHCH-CHCH-like Cx9C, IMS import disulfide relay-system,	pfam	domain	IPR031731		
PF16863	N-terminal barrel of NtMGAM and CtMGAM, maltase-glucoamylase	pfam	domain	IPR031727		
PF16864	Dimerisation domain	pfam	domain	IPR031725		
PF16866	PHD-finger	pfam	domain	IPR019787		
PF16869	Condensin II complex subunit CAP-H2 or CNDH2, mid domain	pfam	family	IPR031719		
PF16870	2-oxoglutarate dehydrogenase C-terminal	pfam	family	IPR031717		
PF16876	Lipin/Ned1/Smp2 multi-domain protein middle domain	pfam	family	IPR031703		
PF16878	Transcriptional regulator, SIX1, N-terminal SD domain	pfam	domain	IPR031701		
PF16879	C-terminal domain of Sin3a protein	pfam	family	IPR031693		
PF16880	N-terminal EH-domain containing protein	pfam	family	IPR031692		
PF16881	N-terminal domain of lipoyl synthase of Radical_SAM family	pfam	family	IPR031691		
PF16884	N-terminal domain of oxidoreductase	pfam	family	IPR041694		
PF16885	Voltage-gated calcium channel subunit alpha, C-term	pfam	family	IPR031688		
PF16886	ATPsynthase alpha/beta subunit N-term extension	pfam	family	IPR031686		
PF16891	Serine-threonine protein phosphatase N-terminal domain	pfam	family	IPR031675		
PF16897	C-terminal region of MMR_HSR1 domain	pfam	family	IPR031662		
PF16898	C-terminal associated domain of TOPRIM	pfam	family	IPR031660		
PF16899	Cyclin C-terminal domain	pfam	domain	IPR031658		
PF16900	Replication protein A OB domain	pfam	domain	IPR031657		
PF16901	C-terminal domain of alpha-glycerophosphate oxidase	pfam	family	IPR031656		
PF16905	Voltage-dependent L-type calcium channel, IQ-associated	pfam	family	IPR031649		
PF16906	Ribosomal proteins L26 eukaryotic, L24P archaeal	pfam	family	IPR005756		
PF16907	Proline rich region of Caskin proteins	pfam	family			
PF16908	Vacuolar sorting-associated protein 13, N-terminal	pfam	family	IPR031646		
PF16909	Vacuolar-sorting-associated 13 protein C-terminal	pfam	family	IPR031645		
PF16910	Repeating coiled region of VPS13	pfam	repeat	IPR031642		
PF16920	Leucine rich repeat C-terminal motif	pfam	conserved_site	IPR031635		
PF16921	Tex protein YqgF-like domain	pfam	domain	IPR032639		
PF16922	DNA replication complex GINS protein SLD5 C-terminus	pfam	domain	IPR031633		
PF16923	Glycosyl hydrolase family 63 N-terminal domain	pfam	domain	IPR031631		
PF16953	Protein-only RNase P	pfam	domain	IPR031595		
PF16954	"Haem-transporter, endosomal/lysosomal, haem-responsive gene "	pfam	family	IPR026218		
PF16959	Renal amino acid transporter	pfam	domain	IPR031588		
PF16969	RNA-binding signal recognition particle 68	pfam	family	IPR026258		
PF16975	Ly6/PLAUR domain-containing protein 6, Lypd6	pfam	domain			
PF16978	SAPK-interacting protein 1 (Sin1), middle CRIM domain	pfam	family	IPR031567		
PF16979	SAPK-interacting protein 1 (Sin1), Pleckstrin-homology	pfam	domain	IPR031313		
PF17004	Putative TPR-like repeat	pfam	repeat	IPR031545		
PF17034	Zinc-ribbon like family	pfam	family	IPR031488		
PF17035	Bromodomain extra-terminal - transcription regulation	pfam	domain	IPR027353		
PF17039	Fucosyltransferase, N-terminal	pfam	domain	IPR031481		
PF17045	"Centrosomal protein of 63 kDa  "	pfam	unknown	IPR031470		
PF17047	Synaptotagmin-like mitochondrial-lipid-binding domain	pfam	domain	IPR039010		
PF17048	Neutral/alkaline non-lysosomal ceramidase, C-terminal	pfam	domain	IPR031331		
PF17054	Microtubule-Associated protein Jupiter	pfam	family	IPR033335		
PF17061	PARM	pfam	family	IPR031431		
PF17065	Putative cytokine, C6ORF120	pfam	family	IPR031420		
PF17066	RBPJ-interacting and tubulin associated protein	pfam	family	IPR031418		
PF17069	Arginine/Serine-Rich protein 1	pfam	family			
PF17085	Unique cartilage matrix associated protein	pfam	family	IPR031386		
PF17086	Small capsid protein of Herpesviridae	pfam	family	IPR031385		
PF17095	Spectrin-binding region of Ca2+-Calmodulin	pfam	family	IPR031372		
PF17098	WTAP/Mum2p family	pfam	family	IPR033757		
PF17101	Stealth protein CR1, conserved region 1	pfam	family	IPR031358		
PF17102	Stealth protein CR3, conserved region 3	pfam	family	IPR031357		
PF17103	Stealth protein CR4, conserved region 4	pfam	family	IPR031356		
PF17105	C-terminal domain of bromodomain protein 4	pfam	family	IPR031354		
PF17120	Zinc-ribbon, C4HC2 type	pfam	domain			
PF17121	Zinc finger, C3HC4 type (RING finger)	pfam	domain	IPR001841		
PF17123	RING-like zinc finger	pfam	domain	IPR001841		
PF17125	N-terminal domain of 16S rRNA methyltransferase RsmF	pfam	domain	IPR031341		
PF17135	Ribosomal protein 60S L18 and 50S L18e	pfam	family	IPR021131		
PF17136	Ribosomal proteins 50S L24/mitochondrial 39S L24	pfam	family	IPR003256		
PF17137	Domain of unknown function (DUF5110)	pfam	family	IPR033403		
PF17144	Ribosomal large subunit proteins 60S L5, and 50S L18	pfam	family	IPR005485		
PF17146	PIN domain of ribonuclease	pfam	domain	IPR033411		
PF17169	MIT domain of nuclear receptor-binding factor 2	pfam	domain	IPR033393		
PF17171	Glutathione S-transferase, C-terminal domain	pfam	domain	IPR033468		
PF17172	"Glutathione S-transferase N-terminal domain "	pfam	domain	IPR012336		
PF17177	Pentacotripeptide-repeat region of PRORP	pfam	repeat	IPR033443		
PF17180	Zinc-binding domain	pfam	family	IPR033446		
PF17189	Glycosyl hydrolase family 30 beta sandwich domain	pfam	domain	IPR033452		
PF17205	Integrin plexin domain	pfam	domain	IPR033760		
PF17207	MCM OB domain	pfam	domain	IPR033762		
PF17208	RNA binding Region	pfam	family	IPR033763		
PF17209	Hfq protein	pfam	domain	IPR005001		
PF17211	VHL box domain	pfam	domain	IPR024048		
PF17213	Hydin Adenylate kinase-like domain	pfam	domain	IPR033768		
PF17215	S1 domain	pfam	domain	IPR033770		
PF17216	Rrp44-like cold shock domain	pfam	domain	IPR033771		
PF17217	UPA domain	pfam	domain	IPR033772		
PF17218	CBX family C-terminal motif	pfam	conserved_site	IPR033773		
PF17219	Yaf2/RYBP C-terminal binding motif	pfam	conserved_site	IPR033774		
PF17221	COMMD1 N-terminal domain	pfam	domain	IPR033776		
PF17226	MTA R1 domain	pfam	domain	IPR035170		
PF17229	Serine/threonine-protein kinase SMG1 N-terminal	pfam	unknown	IPR035175		
PF17244	Cell division control protein 24, OB domain 3	pfam	domain	IPR035203		
PF17256	Anaphase-promoting complex, subunit 16	pfam	family	IPR029641		
PF17284	Spermidine synthase tetramerisation domain	pfam	domain	IPR035246		
PF17285	PRMT5 TIM barrel domain	pfam	domain	IPR035247		
PF17286	PRMT5 oligomerisation domain	pfam	domain	IPR035248		
PF17291	N-terminal domain of M60-like peptidases	pfam	domain	IPR035423		
PF17292	POB3-like N-terminal PH domain	pfam	domain	IPR035417		
PF17297	Phosphoenolpyruvate carboxykinase N-terminal domain	pfam	domain	IPR035078		
PF17307	Small integral membrane protein 3	pfam	family	IPR035275		
PF17333	Beta defensin 136	pfam	domain	IPR035307		
PF17387	Glycosyl hydrolase family 59 central domain	pfam	domain	IPR035394		
PF17389	Bacterial alpha-L-rhamnosidase 6 hairpin glycosidase domain	pfam	repeat	IPR035396		
PF17390	Bacterial alpha-L-rhamnosidase C-terminal domain	pfam	domain	IPR035398		
PF17391	Urocanase N-terminal domain	pfam	domain	IPR035400		
PF17392	Urocanase C-terminal domain	pfam	domain	IPR035401		
PF17403	Nrap protein PAP/OAS-like domain	pfam	domain	IPR035367		
PF17404	Nrap protein domain 3	pfam	domain	IPR035368		
PF17405	Nrap protein nucleotidyltransferase domain 4	pfam	domain	IPR035369		
PF17406	Nrap protein PAP/OAS1-like domain 5	pfam	domain	IPR035370		
PF17407	Nrap protein domain 6	pfam	domain	IPR035371		
PF17408	Malonyl-CoA decarboxylase N-terminal domain	pfam	domain	IPR035372		
PF17416	Herpesvirus Glycoprotein B	pfam	domain	IPR035377		
PF17417	Herpesvirus Glycoprotein B PH-like domain	pfam	domain	IPR035381		
PF17442	"Functional domain of U62 and UL91 proteins  "	pfam	domain	IPR035385		
PF17450	Alpha galactosidase A C-terminal beta sandwich domain	pfam	domain	IPR035373		
PF17465	Chemokine-like protein, HHV-6 U83 gene product	pfam	family	IPR035347		
PF17474	Tegument protein UL11 homolog	pfam	family	IPR020170		
PF17488	Herpesvirus glycoprotein H C-terminal domain	pfam	domain	IPR035305		
PF17489	L1 transposable element trimerization domain	pfam	unknown	IPR035301		
PF17490	L1 transposable element dsRBD-like domain	pfam	domain	IPR035300		
PF17517	IgGFc binding protein	pfam	family	IPR035234		
PF17653	Family of unknown function (DUF5522)	pfam	family	IPR040807		
PF17654	"Selenocysteine tRNA 1 associated proteins "	pfam	family	IPR041085		
PF17655	Inward rectifier potassium channel C-terminal domain	pfam	domain	IPR041647		
PF17658	Family of unknown function (DUF5520)	pfam	family	IPR040721		
PF17659	Family of unknown function (DUF5521)	pfam	family	IPR040893		
PF17661	Family of unknown function (DUF5523)	pfam	family	IPR041510		
PF17662	Family of unknown function (DUF5524)	pfam	family	IPR040247		
PF17663	Family of unknown function (DUF5525)	pfam	family	IPR037656		
PF17664	Cilia- and flagella-associated protein HOATZ-like	pfam	family	IPR040681		
PF17665	Family of unknown function (DUF5527)	pfam	family	IPR039954		
PF17666	Family of unknown function (DUF5528)	pfam	family	IPR038935		
PF17667	Fungal protein kinase	pfam	domain	IPR040976		
PF17669	Family of unknown function (DUF5529)	pfam	family	IPR040027		
PF17670	Family of unknown function (DUF5530)	pfam	family	IPR037668		
PF17671	Family of unknown function (DUF5531)	pfam	family	IPR038788		
PF17672	Fertilisation-influencing membrane protein	pfam	family	IPR038813		
PF17673	Family of unknown function (DUF5532)	pfam	family	IPR040022		
PF17674	HHH domain	pfam	domain	IPR041692		
PF17675	Apg6 coiled-coil region	pfam	unknown	IPR041691		
PF17677	Glycosyl hydrolases family 38 C-terminal beta sandwich domain	pfam	domain	IPR041147		
PF17681	Gamma tubulin complex component N-terminal	pfam	domain	IPR041470		
PF17682	Tau95 Triple barrel domain	pfam	domain	IPR041499		
PF17683	TFIIF, beta subunit N-terminus	pfam	family	IPR040504		
PF17685	Family of unknown function (DUF5533)	pfam	family	IPR041156		
PF17686	Family of unknown function (DUF5534)	pfam	family	IPR037549		
PF17687	Family of unknown function (DUF5535)	pfam	family	IPR040906		
PF17688	Family of unknown function (DUF5536)	pfam	family	IPR038963		
