DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,alias,COSMICID,sex,source,RRID,WTSI_Master_Cell_ID,sample_collection_site,primary_or_metastasis,primary_disease,Subtype,age,Sanger_Model_ID,depmap_public_comments,lineage,lineage_subtype,lineage_sub_subtype,lineage_molecular_subtype,default_growth_pattern,model_manipulation,model_manipulation_details,patient_id,parent_depmap_id,Cellosaurus_NCIt_disease,Cellosaurus_NCIt_id,Cellosaurus_issues
ACH-001526,HuO9,HUO9,HUO9_BONE,,907072.0,Female,JCRB,CVCL_1298,330.0,bone,Primary,Bone Cancer,Osteosarcoma,13,SIDM00599,,bone,osteosarcoma,,,2D: adherent,,,PT-JCLa8x,,Osteosarcoma,C9145,
ACH-001528,IHH-4,IHH4,IHH4_THYROID,,1240154.0,Male,JCRB,CVCL_2960,331.0,lymph_node,Metastasis,Thyroid Cancer,"Carcinoma, papillary",75,SIDM00600,,thyroid,thyroid_carcinoma,papillary,,2D: adherent,,,PT-1Qm9m0,,Thyroid gland papillary carcinoma,C4035,
ACH-001529,JAR,JAR,JAR_PLACENTA,,907175.0,Male,ATCC,CVCL_0360,633.0,Placenta,Primary,Endometrial/Uterine Cancer,Choriocarcinoma,Fetus,SIDM01039,,uterus,choriocarcinoma,,,2D: adherent,,,PT-RI1Xeu,,Gestational choriocarcinoma,C4646,"Established from the trophoblastic tumor of the placenta of a 24 year old woman, but the cell line is from the male fetus"
ACH-001530,JEG-3,JEG3,JEG3_PLACENTA,,907176.0,Male,ATCC,CVCL_0363,1195.0,central_nervous_system,Metastasis,Endometrial/Uterine Cancer,Choriocarcinoma,Fetus,SIDM01218,,uterus,choriocarcinoma,,,2D: adherent,,,PT-hB4ARO,,Gestational choriocarcinoma,C4646,A TP53 mutation is indicated as being at p.Gln167His (c.501G>T) in PubMed=7819056 but has not been confirmed by CCLE and Cosmic-CLP
ACH-001542,KON,KON,KON_UPPER_AERODIGESTIVE_TRACT,,1298215.0,Male,JCRB,CVCL_3001,314.0,upper_aerodigestive_tract,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,76,SIDM00604,,upper_aerodigestive,upper_aerodigestive_squamous,,,2D: adherent,,,PT-wu5c1x,,Floor of mouth squamous cell carcinoma,C4041,
ACH-001543,KOSC-2,KOSC2,KOSC2CL343_UPPER_AERODIGESTIVE_TRACT,KOSC-2,753570.0,Male,JCRB,CVCL_1337,315.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,"Squamous Cell Carcinoma, oral",51,SIDM00603,,upper_aerodigestive,upper_aerodigestive_squamous,oral,,2D: adherent,,,PT-1EAB3W,,Floor of mouth squamous cell carcinoma,C4041,Removed from DepMap;
ACH-001544,KYAE-1,KYAE1,KYAE1_OESOPHAGUS,,1503368.0,Male,,CVCL_1825,1624.0,pleural_effusion,Metastasis,Esophageal Cancer,Adenocarcinoma,60,SIDM00530,,esophagus,esophagus_adenocarcinoma,,,2D: adherent,,,PT-VFQOly,,Esophageal adenocarcinoma,C4025,
ACH-001549,Lu-135,LU135,LU135_LUNG,,713899.0,Male,JCRB,CVCL_1389,207.0,lung,Primary,Lung Cancer,Small Cell Lung Cancer (SCLC),69,SIDM00294,,lung,SCLC,,,2D: suspension,,,PT-QtHHhA,,Lung small cell carcinoma,C4917,
ACH-001578,NCCIT,NCCIT,NCCIT_TESTIS,,908441.0,Male,ATCC,CVCL_1451,1098.0,lung,Primary,Embryonal Cancer,Carcinoma,24,SIDM00655,,embryo,embryo_carcinoma,,,2D: adherent,,,PT-OqrZ3f,,Testicular embryonal carcinoma,C6341,
ACH-001591,NCI-H1417,NCIH1417,NCIH1417_LUNG,H1417,688001.0,Female,ATCC,CVCL_1469,423.0,lung,Primary,Lung Cancer,Small Cell Lung Cancer (SCLC),61,SIDM00642,,lung,SCLC,,,2D: suspension,,,PT-5DnFBw,,Lung small cell carcinoma,C4917,
ACH-001599,NCI-H64,NCIH64,NCIH64_LUNG,H64,688026.0,Female,ATCC,CVCL_1573,1371.0,lymph_node,Metastasis,Lung Cancer,Small Cell Lung Cancer (SCLC),48,SIDM01126,,lung,SCLC,,,2D: suspension,,,PT-H6p5eD,,Lung small cell carcinoma,C4917,Indicated as originating from a female patient in ATCC and from a male patient in PubMed=2985257 and PubMed=2986243
ACH-001603,NH-12,NH12,NH12_AUTONOMIC_GANGLIA,,908447.0,Male,JCRB,CVCL_1605,1546.0,autonomic_ganglia,Primary,Neuroblastoma,,1,SIDM00577,,peripheral_nervous_system,neuroblastoma,,,2D: adherent,,,PT-HjdUWT,,Adrenal gland neuroblastoma,C4827,
ACH-001605,no.10,NO10,NO10_CENTRAL_NERVOUS_SYSTEM,ONDA10,908452.0,Male,JCRB,CVCL_3075,36.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,62,SIDM00574,,central_nervous_system,glioma,glioblastoma,,2D: adherent,,,PT-5s2EZm,,Glioblastoma,C3058,
ACH-001606,no.11,NO11,NO11_CENTRAL_NERVOUS_SYSTEM,ONDA11,908450.0,Female,JCRB,CVCL_3076,1489.0,central_nervous_system,Primary,Brain Cancer,Glioblastoma,64,SIDM00573,,central_nervous_system,glioma,glioblastoma,,2D: adherent,,,PT-jZhsXq,,Glioblastoma,C3058,
ACH-001617,OCI-LY7,OCILY7,OCILY7_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1659819.0,Male,DSMZ,CVCL_1881,1606.0,haematopoietic_and_lymphoid_tissue,Primary,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),48,SIDM00459,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,2D: suspension,,,PT-X6RNMT,,Diffuse large B-cell lymphoma germinal center B-cell type,C36080,
ACH-001625,OSC-19,OSC19,OSC19_UPPER_AERODIGESTIVE_TRACT,,1298362.0,Male,JCRB,CVCL_3086,1253.0,lymph_node,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,61,SIDM00566,,upper_aerodigestive,upper_aerodigestive_squamous,,,2D: adherent,,,PT-FeUEcM,,Tongue squamous cell carcinoma,C4648,
ACH-001626,OSC-20,OSC20,OSC20_UPPER_AERODIGESTIVE_TRACT,,1240196.0,Female,JCRB,CVCL_3087,1254.0,lymph_node,Metastasis,Head and Neck Cancer,Squamous Cell Carcinoma,59,SIDM00565,,upper_aerodigestive,upper_aerodigestive_squamous,,,2D: adherent,,,PT-CVPxmk,,Tongue squamous cell carcinoma,C4648,
ACH-001630,PEO1,PEO1,PEO1_OVARY,,1480372.0,Female,Sigma-Aldrich,CVCL_2686,177.0,ascites,Metastasis,Ovarian Cancer,Cystadenocarcinoma,,SIDM00472,,ovary,ovary_adenocarcinoma,,,2D: adherent,,,PT-FMp5RI,,BRCA2 syndrome,C36101,
ACH-001638,RC-K8,RCK8,RCK8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1330995.0,Male,DSMZ,CVCL_1883,283.0,ascites,Primary,Lymphoma,B-cell,55,SIDM00448,,lymphocyte,lymphoma_unspecified,b_cell,,2D: suspension,,,PT-l9J76R,,Diffuse large B-cell lymphoma germinal center B-cell type,C36080,Was originally classified as originating from a histiocytic lymphoma
ACH-001639,ROS-50,ROS50,ROS50_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331025.0,Male,DSMZ,CVCL_1887,1764.0,haematopoietic_and_lymphoid_tissue,Primary,Leukemia,"Acute Lymphoblastic Leukemia (ALL), B-cell",69,SIDM00415,,blood,ALL,b_cell,,2D: suspension,,,PT-dlYxf2,,Diffuse large B-cell lymphoma,C8851,
ACH-001641,SAT,SAT,SAT_UPPER_AERODIGESTIVE_TRACT,,1299050.0,,JCRB,CVCL_3160,562.0,upper_aerodigestive_tract,Primary,Head and Neck Cancer,Squamous Cell Carcinoma,,SIDM00350,,upper_aerodigestive,upper_aerodigestive_squamous,,,2D: adherent,,,PT-4X1Phg,,Head and neck squamous cell carcinoma,C34447,
ACH-001642,SCC-3,SCC3,SCC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,910930.0,Female,JCRB,CVCL_1683,1475.0,pleural_effusion,Primary,Lymphoma,"B-cell, Non-Hodgkins",20,SIDM00384,,lymphocyte,non_hodgkin_lymphoma,b_cell,,2D: suspension,,,PT-HcsCe7,,B-cell non-Hodgkin lymphoma,C3457,
ACH-001650,SISO,SISO,SISO_CERVIX,,1240212.0,Female,DSMZ,CVCL_2193,1498.0,cervix,Primary,Cervical Cancer,Cervical Adenocarcinoma,67,SIDM00394,,cervix,cervical_adenocarcinoma,,,2D: adherent,,,PT-97kTPc,,Human papillomavirus-related endocervical adenocarcinoma,C27677,
ACH-001653,SK-GT-2,SKGT2,SKGT2_STOMACH,,1503364.0,Male,Sigma-Aldrich,CVCL_2194,1868.0,stomach,Primary,Gastric Cancer,Adenocarcinoma,72,SIDM00393,,gastric,gastric_adenocarcinoma,,,2D: adherent,,,PT-ZJjbcp,,Gastric fundus carcinoma,C8398,
ACH-001654,SK-GT-4,SKGT4,SKGT4_OESOPHAGUS,,1503365.0,Male,Sigma-Aldrich,CVCL_2195,2164.0,oesophagus,Primary,Esophageal Cancer,Adenocarcinoma,89,SIDM00483,,esophagus,esophagus_adenocarcinoma,,,2D: adherent,,,PT-2qao55,,Esophageal adenocarcinoma,C4025,TP53 mutation indicated incorrectly as being at p.Arg175His (c.524G>A) in PubMed=7665247
ACH-001655,SKN,SKN,SKN_ENDOMETRIUM,,1240215.0,Female,JCRB,CVCL_3167,791.0,endometrium,Primary,Endometrial/Uterine Cancer,Endometrial Squamous Cell Carcinoma,52,SIDM00377,,uterus,endometrial_squamous,,,2D: adherent,,,PT-yc0xLp,,Uterine corpus leiomyosarcoma,C6340,
ACH-001674,TGW,TGW,TGW_AUTONOMIC_GANGLIA,,910780.0,Male,JCRB,CVCL_1771,1752.0,autonomic_ganglia,Primary,Neuroblastoma,,1,SIDM00324,,peripheral_nervous_system,neuroblastoma,,,2D: adherent,,,PT-o4jARg,,Adrenal gland neuroblastoma,C4827,
ACH-001680,U-698-M,U698M,U698M_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909777.0,Male,DSMZ,CVCL_0017,548.0,upper_aerodigestive_tract,Metastasis,Lymphoma,Lymphoblastic Lymphoma,7,SIDM00424,,lymphocyte,non_hodgkin_lymphoma,lymphoblastic_lymphoma,,2D: suspension,,,PT-05hA76,,Lymphoblastic lymphoma,C9360,
ACH-001702,VA-ES-BJ,VAESBJ,VAESBJ_SOFT_TISSUE,,688121.0,Male,ATCC,CVCL_1785,1004.0,bone_marrow,Metastasis,Sarcoma,Epithelioid,41,SIDM01179,,soft_tissue,epithelioid_sarcoma,,,2D: adherent,,,PT-vslXtO,,Epithelioid sarcoma,C3714,
ACH-001703,VAL,VAL,VAL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,1331048.0,Female,DSMZ,CVCL_1819,2221.0,bone_marrow,Metastasis,Lymphoma,Diffuse Large B-cell Lymphoma (DLBCL),50,SIDM00416,,lymphocyte,non_hodgkin_lymphoma,DLBCL,,2D: suspension,,,PT-jXERAO,,Diffuse large B-cell lymphoma,C8851,
ACH-001704,VMRC-MELG,VMRCMELG,VMRCMELG_SKIN,,930301.0,Male,JCRB,CVCL_1789,158.0,Colon,Primary,Skin Cancer,Melanoma,,SIDM00319,,skin,melanoma,,,2D: adherent,,,PT-KL4Kmo,,Melanoma,C3224,
ACH-001709,WSU-NHL,WSUNHL,WSUNHL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,909785.0,Female,DSMZ,CVCL_1793,601.0,pleural_effusion,Primary,Lymphoma,B-cell,48,SIDM00412,,lymphocyte,lymphoma_unspecified,b_cell,,2D: suspension,,,PT-scpPOF,,Diffuse large B-cell lymphoma germinal center B-cell type,C36080,Was originally classified as originating from a follicular lymphoma
ACH-001711,PFSK-1,PFSK1,PFSK1_CENTRAL_NERVOUS_SYSTEM,,683667.0,Male,ATCC,CVCL_1642,1682.0,central_nervous_system,Primary,Brain Cancer,Primitive Neuroectodermal Tumor (PNET),1,SIDM01132,,central_nervous_system,PNET,,,2D: adherent,,,PT-lzKK9W,,Primitive neuroectodermal tumor,C3716,
ACH-001715,CAL-72,CAL72,CAL72_BONE,,906827.0,Male,DSMZ,CVCL_1113,550.0,bone,,Bone Cancer,Osteosarcoma,10,SIDM00930,,bone,osteosarcoma,,,2D: adherent,,,PT-fcGStb,,Osteosarcoma,C9145,
ACH-001716,GOTO,GOTO,GOTO_AUTONOMIC_GANGLIA,,906875.0,Male,JCRB,CVCL_1234,1009.0,autonomic_ganglia,,Neuroblastoma,,1,SIDM00544,,peripheral_nervous_system,neuroblastoma,,,2D: adherent,,,PT-v9NPqN,,Adrenal gland neuroblastoma,C4827,
ACH-001738,CCRF-CEM,CCRFCEM,CCRFCEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,,905952.0,Female,Academic lab,CVCL_0207,1151.0,haematopoietic_and_lymphoid_tissue,,Leukemia,"Acute Lymphoblastic Leukemia (ALL), T-cell",3,SIDM00121,,blood,ALL,t_cell,,2D: suspension,,,PT-1wfNxx,,Childhood T acute lymphoblastic leukemia,C7953,
ACH-002089,201T,201T,201T_LUNG,,1287381.0,Male,Sanger,CVCL_X481,220.0,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma",68,SIDM00055,,lung,NSCLC,NSCLC_adenocarcinoma,,,,,PT-w6y5uu,,Lung adenocarcinoma,C3512,
ACH-002090,BB65-RCC,BB65RCC,BB65RCC_KIDNEY,,753533.0,Male,Sanger,CVCL_1078,181.0,kidney,,Kidney Cancer,Renal Cell Carcinoma,,SIDM00191,,kidney,renal_cell_carcinoma,,,,,,PT-ySk3os,,Renal cell carcinoma,C9385,
ACH-002091,CAL-39,CAL39,CAL39_VULVA,,924107.0,Female,Sanger,CVCL_1109,998.0,cervix,,Skin Cancer,"Squamous Cell Carcinoma, vulvar",76,SIDM00935,,skin,skin_squamous,,,,,,PT-dvvVBK,,Vulvar squamous cell carcinoma,C4052,
ACH-002092,CHSA0011,CHSA0011,CHSA0011_BONE,,1290767.0,Male,Sanger,CVCL_X483,1466.0,bone,,Bone Cancer,Chondrosarcoma,,SIDM00051,,bone,chondrosarcoma,,,,,,PT-LvJLfb,,Chondrosarcoma,C2946,
ACH-002093,CHSA0108,CHSA0108,CHSA0108_BONE,,1290768.0,Male,Sanger,CVCL_X484,280.0,bone,,Bone Cancer,Chondrosarcoma,,SIDM00050,,bone,chondrosarcoma,,,,,,PT-6A4Uap,,Chondrosarcoma,C2946,
ACH-002094,CHSA8926,CHSA8926,CHSA8926_BONE,,1303912.0,Male,Sanger,CVCL_X485,554.0,bone,,Bone Cancer,Chondrosarcoma,,SIDM00176,,bone,chondrosarcoma,,,,,,PT-7BhS74,,Chondrosarcoma,C2946,
ACH-002095,COR-L303,CORL303,CORL303_LUNG,,1297438.0,Female,Sanger,CVCL_2411,1942.0,lung,,Lung Cancer,Small Cell Lung Cancer (SCLC),,SIDM00510,,lung,SCLC,,,,,,PT-toN1tP,,Lung small cell carcinoma,C4917,
ACH-002096,CP50-MEL-B,CP50MELB,CP50MELB_SKIN,,753545.0,Male,Sanger,CVCL_1143,1248.0,skin,,Skin Cancer,Melanoma,,SIDM00175,,skin,melanoma,,,,,,PT-eNOXVI,,Melanoma,C3224,
ACH-002097,CP66-MEL,CP66MEL,CP66MEL_SKIN,,753546.0,Male,Sanger,CVCL_1144,1845.0,skin,,Skin Cancer,Melanoma,,SIDM00190,,skin,melanoma,,,,,,PT-4V4zXY,,Melanoma,C3224,
ACH-002098,CP67-MEL,CP67MEL,CP67MEL_SKIN,,949092.0,,Sanger,CVCL_1145,640.0,skin,,Skin Cancer,Melanoma,,SIDM00189,,skin,melanoma,,,,,,PT-3Vy9bq,,Melanoma,C3224,
ACH-002099,CS1,CS1,CS1_BONE,,1290795.0,Male,Sanger,CVCL_T023,1006.0,bone,,Bone Cancer,Chondrosarcoma,62,SIDM00199,,bone,chondrosarcoma,,,,,,PT-QryVtu,,Chondrosarcoma,C2946,
ACH-002100,DJM-1,DJM1,DJM1_SKIN,,906841.0,Female,Sanger,CVCL_1172,899.0,skin,,Skin Cancer,Squamous Cell Carcinoma,87,SIDM00281,,skin,skin_squamous,,,,,,PT-wu5yKY,,Skin squamous cell carcinoma,C4819,
ACH-002101,EMC-BAC-1,EMCBAC1,EMCBAC1_LUNG,,1503369.0,Male,Sanger,CVCL_X486,967.0,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",,SIDM00048,,lung,NSCLC,,,,,,PT-L9zIfE,,Lung non-small cell carcinoma,C2926,
ACH-002102,EMC-BAC-2,EMCBAC2,EMCBAC2_LUNG,,1503370.0,,Sanger,CVCL_X487,2232.0,lung,,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), unspecified",,SIDM00047,,lung,NSCLC,,,,,,PT-fbtwet,,Lung non-small cell carcinoma,C2926,
ACH-002103,ES1,ES1,ES1_BONE,,949158.0,Female,Sanger,CVCL_1198,1564.0,bone,,Bone Cancer,Ewings Sarcoma,5,SIDM00266,,bone,Ewing_sarcoma,,,,,,PT-xla95J,,Ewing sarcoma,C4817,
ACH-002104,ES3,ES3,ES3_BONE,,684055.0,Male,Sanger,CVCL_1199,1342.0,bone,,Bone Cancer,Ewings Sarcoma,12,SIDM00265,,bone,Ewing_sarcoma,,,,,,PT-D3o8va,,Ewing sarcoma,C4817,
ACH-002105,ES4,ES4,ES4_BONE,,949156.0,Male,Sanger,CVCL_1200,70.0,bone,,Bone Cancer,Ewings Sarcoma,18,SIDM00264,,bone,Ewing_sarcoma,,,,,,PT-xlEt4m,,Ewing sarcoma,C4817,
ACH-002106,ES5,ES5,ES5_BONE,,684057.0,Male,Sanger,CVCL_1201,610.0,bone,,Bone Cancer,Ewings Sarcoma,16,SIDM00263,,bone,Ewing_sarcoma,,,,,,PT-r9iOGQ,,Ewing sarcoma,C4817,
ACH-002107,ES6,ES6,ES6_BONE,,949157.0,Male,Sanger,CVCL_1202,611.0,bone,,Bone Cancer,Ewings Sarcoma,17,SIDM00262,,bone,Ewing_sarcoma,,,,,,PT-TqRNEw,,Ewing sarcoma,C4817,
ACH-002108,ES7,ES7,ES7_BONE,,684059.0,Male,Sanger,CVCL_1203,71.0,bone,,Bone Cancer,Ewings Sarcoma,15,SIDM00269,,bone,Ewing_sarcoma,,,,,,PT-UaCQ5a,,Ewing sarcoma,C4817,
ACH-002109,ES8,ES8,ES8_BONE,,949155.0,Male,Sanger,CVCL_1204,2139.0,bone,,Bone Cancer,Ewings Sarcoma,10,SIDM00261,,bone,Ewing_sarcoma,,,,,,PT-XwatVo,,Ewing sarcoma,C4817,
ACH-002110,EW-1,EW1,EW1_BONE,,949163.0,Male,Sanger,CVCL_1208,902.0,pleural_effusion,Metastasis,Bone Cancer,Ewings Sarcoma,19,SIDM00205,,bone,Ewing_sarcoma,,,,,,PT-Og2kQl,,Ewing sarcoma,C4817,
ACH-002111,EW-11,EW11,EW11_BONE,,684062.0,Female,Sanger,CVCL_1209,231.0,lymph_node,Metastasis,Bone Cancer,Ewings Sarcoma,11,SIDM00203,,bone,Ewing_sarcoma,,,,,,PT-ffWqWi,,Ewing sarcoma,C4817,
ACH-002112,EW-12,EW12,EW12_BONE,,949162.0,Female,Sanger,CVCL_1210,2140.0,bone,,Bone Cancer,Ewings Sarcoma,,SIDM00200,,bone,Ewing_sarcoma,,,,,,PT-f4Zzeo,,Ewing sarcoma,C4817,
ACH-002113,EW-13,EW13,EW13_BONE,,949166.0,Male,Sanger,CVCL_1211,324.0,bone,,Bone Cancer,Ewings Sarcoma,,SIDM00621,,bone,Ewing_sarcoma,,,,,,PT-WFDXpM,,Ewing sarcoma,C4817,
ACH-002114,EW-16,EW16,EW16_BONE,,949165.0,Male,Sanger,CVCL_1212,1529.0,bone,,Bone Cancer,Ewings Sarcoma,,SIDM00198,,bone,Ewing_sarcoma,,,,,,PT-QzFJZa,,Ewing sarcoma,C4817,
ACH-002115,EW-18,EW18,EW18_BONE,,949164.0,,Sanger,CVCL_1213,612.0,bone,,Bone Cancer,Ewings Sarcoma,,SIDM00197,,bone,Ewing_sarcoma,,,,,,PT-vwk5jp,,Ewing sarcoma,C4817,
ACH-002116,EW-22,EW22,EW22_BONE,,949167.0,,Sanger,CVCL_1214,613.0,bone,,Bone Cancer,Ewings Sarcoma,,SIDM00196,,bone,Ewing_sarcoma,,,,,,PT-WT7T9s,,Ewing sarcoma,C4817,
ACH-002117,EW-24,EW24,EW24_BONE,,949168.0,,Sanger,CVCL_1215,704.0,bone,,Bone Cancer,Ewings Sarcoma,,SIDM00195,,bone,Ewing_sarcoma,,,,,,PT-vHz5HE,,Ewing sarcoma,C4817,
ACH-002118,EW-3,EW3,EW3_BONE,,949161.0,Male,Sanger,CVCL_1216,2176.0,pleural_effusion,Metastasis,Bone Cancer,Ewings Sarcoma,14,SIDM00202,,bone,Ewing_sarcoma,,,,,,PT-tIaT2F,,Ewing sarcoma,C4817,
ACH-002119,EW-7,EW7,EW7_BONE,,949160.0,Female,Sanger,CVCL_1217,72.0,pleural_effusion,Metastasis,Bone Cancer,Ewings Sarcoma,20,SIDM00201,,bone,Ewing_sarcoma,,,,,,PT-G4z5vv,,Ewing sarcoma,C4817,
ACH-002120,GAK,GAK,GAK_SKIN,,910932.0,Female,Sanger,CVCL_1225,325.0,lymph_node,Metastasis,Skin Cancer,Melanoma,86,SIDM00543,,skin,melanoma,,,,,,PT-dBVaTX,,Vulvar melanoma,C40329,
ACH-002121,G-MEL,GMEL,GMEL_SKIN,,1240130.0,Male,Sanger,CVCL_W798,1981.0,skin,,Skin Cancer,Melanoma,,SIDM00129,,skin,melanoma,,,,,,PT-qSfHSE,,Cutaneous melanoma,C3510,
ACH-002122,GT3TKB,GT3TKB,GT3TKB_STOMACH,,907041.0,,Sanger,CVCL_1237,614.0,pleural_effusion,Metastasis,Lung Cancer,"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma",,SIDM01231,SNP fingerprinting confirms that this line is a RERF-LC-A1 derivative. DepMap metadata has been updated (as of 22Q2) to reflect this.,lung,NSCLC,NSCLC_squamous,,,,,PT-9jciof,ACH-000261,Lung squamous cell carcinoma,C3493,Contaminated. Shown to be a RERF-LC-A1 derivative (PubMed=16643607; PubMed=20143388).
ACH-002123,H2369,H2369,H2369_PLEURA,,1290808.0,Male,Sanger,CVCL_A532,165.0,lung,,Lung Cancer,Mesothelioma,,SIDM00104,,lung,mesothelioma,,,,,,PT-koaN9h,,Pleural malignant mesothelioma,C7376,
ACH-002124,H2373,H2373,NCIH2373_PLEURA,,1290809.0,Male,Sanger,CVCL_A533,1797.0,lung,,Lung Cancer,Mesothelioma,Adult,SIDM00103,,lung,mesothelioma,,,,,,PT-bQkyHj,,Pleural sarcomatoid mesothelioma,C45663,
ACH-002125,H2461,H2461,NCIH2461_PLEURA,,1290810.0,Male,Sanger,CVCL_A536,1508.0,lung,,Lung Cancer,Mesothelioma,Adult,SIDM00102,,lung,mesothelioma,,,,,,PT-p43gwj,,Pleural epithelioid mesothelioma,C45662,
ACH-002126,H2591,H2591,NCIH2591_PLEURA,,1240131.0,Male,Sanger,CVCL_A543,1509.0,lung,,Lung Cancer,Mesothelioma,Adult,SIDM00101,,lung,mesothelioma,,,,,,PT-B8hYEZ,,Pleural epithelioid mesothelioma,C45662,
ACH-002127,H2595,H2595,NCIH2595_PLEURA,,1240132.0,Male,Sanger,CVCL_A545,51.0,lung,,Lung Cancer,Mesothelioma,Adult,SIDM00100,,lung,mesothelioma,,,,,,PT-N8El5S,,Pleural epithelioid mesothelioma,C45662,
ACH-002128,H2722,H2722,NCIH2722_PLEURA,,1290812.0,Male,Sanger,CVCL_U994,1798.0,lung,,Lung Cancer,Mesothelioma,,SIDM00099,,lung,mesothelioma,,,,,,PT-4uXSQu,,Pleural malignant mesothelioma,C7376,
ACH-002129,H2731,H2731,NCIH2731_PLEURA,,1240134.0,Male,Sanger,CVCL_U995,1074.0,lung,,Lung Cancer,Mesothelioma,,SIDM00098,,lung,mesothelioma,,,,,,PT-f40mh1,,Pleural sarcomatoid mesothelioma,C45663,
ACH-002130,H2795,H2795,NCIH2795_PLEURA,,1290813.0,Male,Sanger,CVCL_U996,1971.0,lung,,Lung Cancer,Mesothelioma,,SIDM00154,,lung,mesothelioma,,,,,,PT-opHstS,,Pleural epithelioid mesothelioma,C45662,
ACH-002131,H2803,H2803,NCIH2803_PLEURA,,1240135.0,,Sanger,CVCL_U997,52.0,lung,,Lung Cancer,Mesothelioma,,SIDM00309,,lung,mesothelioma,,,,,,PT-WguAEO,,Pleural malignant mesothelioma,C7376,
ACH-002132,H2804,H2804,NCIH2804_PLEURA,,1240136.0,Male,Sanger,CVCL_U998,882.0,lung,,Lung Cancer,Mesothelioma,,SIDM00310,,lung,mesothelioma,,,,,,PT-Rw7MY6,,Pleural malignant mesothelioma,C7376,
ACH-002133,H2810,H2810,NCIH2810_PLEURA,,1240137.0,Male,Sanger,CVCL_U999,591.0,lung,,Lung Cancer,Mesothelioma,,SIDM00311,,lung,mesothelioma,,,,,,PT-sgR3ZT,,Pleural epithelioid mesothelioma,C45662,
ACH-002134,H2818,H2818,NCIH2818_PLEURA,,1290814.0,Male,Sanger,CVCL_V000,2254.0,lung,,Lung Cancer,Mesothelioma,,SIDM00520,,lung,mesothelioma,,,,,,PT-iPnxFl,,Pleural epithelioid mesothelioma,C45662,
ACH-002135,H2869,H2869,NCIH2869_PLEURA,,1240138.0,Male,Sanger,CVCL_V001,309.0,lung,,Lung Cancer,Mesothelioma,,SIDM00519,,lung,mesothelioma,,,,,,PT-agzskj,,Pleural biphasic mesothelioma,C45665,
ACH-002136,H290,H290,H290_PLEURA,,1240139.0,Male,Sanger,CVCL_A555,742.0,lung,,Lung Cancer,Mesothelioma,,SIDM00518,,lung,mesothelioma,,,,,,PT-QUwL3P,,Pleural malignant mesothelioma,C7376,
ACH-002138,H513,H513,H513_LUNG,,1240141.0,Male,Sanger,CVCL_A570,2125.0,,Metastasis,Unknown,"Non-Small Cell Lung Cancer (NSCLC), Adenosquamous Carcinoma",61,,This line is a NCI-H125 derivative (ICLAC). DepMap metadata has been updated (as of 22Q2) to reflect this.,lung,NSCLC,NSCLC_adenosquamous,,,,,PT-3z38Jf,,Lung adenosquamous carcinoma,C9133,Contaminated. Shown to be a NCI-H125 derivative. Originally thought to originate with the pleural effusion of a mesothelioma in a 64 year old male patient. Removed from DepMap;
ACH-002139,HA7-RCC,HA7RCC,HA7RCC_KIDNEY,,753558.0,Male,Sanger,CVCL_1241,1790.0,kidney,,Kidney Cancer,Renal Cell Carcinoma,,SIDM00188,,kidney,renal_cell_carcinoma,,,,,,PT-ISixNE,,Renal cell carcinoma,C9385,
ACH-002140,Hey,HEY,HEY_OVARY,,1479988.0,Female,Sanger,CVCL_0297,1096.0,ovary,,Ovarian Cancer,"Adenocarcinoma, high grade serous",,SIDM00968,,ovary,ovary_adenocarcinoma,high_grade_serous,,,,,PT-0hMOxQ,,High grade ovarian serous adenocarcinoma,C105555,
ACH-002141,HSC-39,HSC39,HSC39_STOMACH,,1322224.0,Male,Sanger,CVCL_A385,1991.0,ascites,Metastasis,Gastric Cancer,"Adenocarcinoma, signet ring cell",54,SIDM00045,,gastric,gastric_adenocarcinoma,signet_ring_cell,,,,,PT-AjNeCf,,Gastric signet ring cell adenocarcinoma,C5250,
ACH-002142,HuO-3N1,HUO3N1,HUO3N1_BONE,,909977.0,Female,Sanger,CVCL_1297,2101.0,bone,,Bone Cancer,Osteosarcoma,15,SIDM00584,,bone,osteosarcoma,,,,,,PT-3yhqod,,Osteosarcoma,C9145,
