kegg_pathwayid,kegg_pathwayname,kegg_diseaseid,kegg_diseasename
hsa04630,"JAK-STAT signaling pathway",H01466,"Ulcerative colitis"
hsa04060,"Cytokine-cytokine receptor interaction",H01479,"Castleman disease"
hsa04630,"JAK-STAT signaling pathway",H01479,"Castleman disease"
hsa04640,"Hematopoietic cell lineage",H01479,"Castleman disease"
hsa04060,"Cytokine-cytokine receptor interaction",H01672,"Juvenile idiopathic arthritis"
hsa04630,"JAK-STAT signaling pathway",H01672,"Juvenile idiopathic arthritis"
hsa04060,"Cytokine-cytokine receptor interaction",H02037,"Laron syndrome"
hsa04080,"Neuroactive ligand-receptor interaction",H02037,"Laron syndrome"
hsa04151,"PI3K-Akt signaling pathway",H02037,"Laron syndrome"
hsa04630,"JAK-STAT signaling pathway",H02037,"Laron syndrome"
hsa04060,"Cytokine-cytokine receptor interaction",H02039,"Kowarski syndrome"
hsa04080,"Neuroactive ligand-receptor interaction",H02039,"Kowarski syndrome"
hsa04151,"PI3K-Akt signaling pathway",H02039,"Kowarski syndrome"
hsa04630,"JAK-STAT signaling pathway",H02039,"Kowarski syndrome"
hsa04060,"Cytokine-cytokine receptor interaction",H02059,"Leptin deficiency"
hsa04080,"Neuroactive ligand-receptor interaction",H02059,"Leptin deficiency"
hsa04152,"AMPK signaling pathway",H02059,"Leptin deficiency"
hsa04630,"JAK-STAT signaling pathway",H02059,"Leptin deficiency"
hsa04920,"Adipocytokine signaling pathway",H02059,"Leptin deficiency"
hsa04060,"Cytokine-cytokine receptor interaction",H02060,"Leptin receptor deficiency"
hsa04080,"Neuroactive ligand-receptor interaction",H02060,"Leptin receptor deficiency"
hsa04152,"AMPK signaling pathway",H02060,"Leptin receptor deficiency"
hsa04630,"JAK-STAT signaling pathway",H02060,"Leptin receptor deficiency"
hsa04920,"Adipocytokine signaling pathway",H02060,"Leptin receptor deficiency"
hsa04060,"Cytokine-cytokine receptor interaction",H02254,"Craniosynostosis and dental anomalies"
hsa04630,"JAK-STAT signaling pathway",H02254,"Craniosynostosis and dental anomalies"
hsa04064,"NF-kappa B signaling pathway",H01743,"Autoinflammation and PLCG2-associated antibody deficiency and immune dysregulation"
hsa04064,"NF-kappa B signaling pathway",H02042,"Familial expansile osteolysis"
hsa04380,"Osteoclast differentiation",H02042,"Familial expansile osteolysis"
hsa04066,"HIF-1 signaling pathway",H01457,"Diabetic retinopathy"
hsa04614,"Renin-angiotensin system",H01457,"Diabetic retinopathy"
hsa04066,"HIF-1 signaling pathway",H01510,"Malignant paraganglioma"
hsa04066,"HIF-1 signaling pathway",H01529,"Avascular necrosis of femoral head"
hsa04370,"VEGF signaling pathway",H01529,"Avascular necrosis of femoral head"
hsa04066,"HIF-1 signaling pathway",H02044,"Cutaneous and mucosal venous malformation"
hsa04151,"PI3K-Akt signaling pathway",H02044,"Cutaneous and mucosal venous malformation"
hsa04068,"FoxO signaling pathway",H01456,"Diabetic nephropathy"
hsa04211,"Longevity regulating pathway",H01456,"Diabetic nephropathy"
hsa04614,"Renin-angiotensin system",H01456,"Diabetic nephropathy"
hsa04080,"Neuroactive ligand-receptor interaction",H00249,"Thyroid hormone resistance syndrome"
hsa04919,"Thyroid hormone signaling pathway",H00249,"Thyroid hormone resistance syndrome"
hsa04080,"Neuroactive ligand-receptor interaction",H00255,"Hypogonadotropic hypogonadism"
hsa04810,"Regulation of actin cytoskeleton",H00255,"Hypogonadotropic hypogonadism"
hsa04912,"GnRH signaling pathway",H00255,"Hypogonadotropic hypogonadism"
hsa04080,"Neuroactive ligand-receptor interaction",H00667,"Woolly hair"
hsa04080,"Neuroactive ligand-receptor interaction",H00680,"Primary failure of tooth eruption"
hsa04961,"Endocrine and other factor-regulated calcium reabsorption",H00680,"Primary failure of tooth eruption"
hsa04080,"Neuroactive ligand-receptor interaction",H00769,Hyperekplexia
hsa04721,"Synaptic vesicle cycle",H00769,Hyperekplexia
hsa04080,"Neuroactive ligand-receptor interaction",H00783,"Febrile seizures"
hsa04727,"GABAergic synapse",H00783,"Febrile seizures"
hsa04728,"Dopaminergic synapse",H00783,"Febrile seizures"
hsa04080,"Neuroactive ligand-receptor interaction",H00807,"Nocturnal frontal lobe epilepsy"
hsa04725,"Cholinergic synapse",H00807,"Nocturnal frontal lobe epilepsy"
hsa04080,"Neuroactive ligand-receptor interaction",H00986,"Multiple pterygium syndrome"
hsa04080,"Neuroactive ligand-receptor interaction",H01039,"Ovarian hyperstimulation syndrome"
hsa04080,"Neuroactive ligand-receptor interaction",H01206,"Plasminogen deficiency"
hsa04610,"Complement and coagulation cascades",H01206,"Plasminogen deficiency"
hsa04080,"Neuroactive ligand-receptor interaction",H01253,"Isolated follicle-stimulating hormone deficiency"
hsa04912,"GnRH signaling pathway",H01253,"Isolated follicle-stimulating hormone deficiency"
hsa04080,"Neuroactive ligand-receptor interaction",H01294,"Nephrogenic syndrome of inappropriate antidiuresis"
hsa04962,"Vasopressin-regulated water reabsorption",H01294,"Nephrogenic syndrome of inappropriate antidiuresis"
hsa04080,"Neuroactive ligand-receptor interaction",H01611,"Alcohol dependence"
hsa04080,"Neuroactive ligand-receptor interaction",H01649,Schizophrenia
hsa04728,"Dopaminergic synapse",H01649,Schizophrenia
hsa04080,"Neuroactive ligand-receptor interaction",H01671,Neurosis
hsa04728,"Dopaminergic synapse",H01671,Neurosis
hsa04080,"Neuroactive ligand-receptor interaction",H01682,"Syndrome of inappropriate secretion of antidiuretic hormone"
hsa04962,"Vasopressin-regulated water reabsorption",H01682,"Syndrome of inappropriate secretion of antidiuretic hormone"
hsa04080,"Neuroactive ligand-receptor interaction",H01683,"Disorders of antidiuretic hormone (ADH) secretion"
hsa04962,"Vasopressin-regulated water reabsorption",H01683,"Disorders of antidiuretic hormone (ADH) secretion"
hsa04080,"Neuroactive ligand-receptor interaction",H01700,Hypopituitarism
hsa04080,"Neuroactive ligand-receptor interaction",H01702,"Glucocorticoid resistance syndrome"
hsa04080,"Neuroactive ligand-receptor interaction",H01895,"Attention deficit hyperactivity disorder (ADHD)"
hsa04726,"Serotonergic synapse",H01895,"Attention deficit hyperactivity disorder (ADHD)"
hsa04728,"Dopaminergic synapse",H01895,"Attention deficit hyperactivity disorder (ADHD)"
hsa04110,"Cell cycle",H00631,"Cornelia de Lange syndrome"
hsa04114,"Oocyte meiosis",H00631,"Cornelia de Lange syndrome"
hsa04110,"Cell cycle",H00713,"Beckwith-Wiedemann syndrome"
hsa04110,"Cell cycle",H01288,"Mosaic variegated aneuploidy syndrome"
hsa04110,"Cell cycle",H01509,"Tonsillar cancer"
hsa04110,"Cell cycle",H01513,Retinoblastoma
hsa04110,"Cell cycle",H01889,"Meier-Gorlin syndrome"
hsa04110,"Cell cycle",H02102,"Myhre syndrome"
hsa04310,"Wnt signaling pathway",H02102,"Myhre syndrome"
hsa04350,"TGF-beta signaling pathway",H02102,"Myhre syndrome"
hsa04114,"Oocyte meiosis",H01274,"Growth delay due to insulin-like growth factor I resistance"
hsa04510,"Focal adhesion",H01274,"Growth delay due to insulin-like growth factor I resistance"
hsa04520,"Adherens junction",H01274,"Growth delay due to insulin-like growth factor I resistance"
hsa04730,"Long-term depression",H01274,"Growth delay due to insulin-like growth factor I resistance"
hsa04914,"Progesterone-mediated oocyte maturation",H01274,"Growth delay due to insulin-like growth factor I resistance"
hsa04114,"Oocyte meiosis",H02122,"Chronic atrial and intestinal dysrhythmia"
hsa04115,"p53 signaling pathway",H00896,Lymphangioleiomyomatosis
hsa04150,"mTOR signaling pathway",H00896,Lymphangioleiomyomatosis
hsa04910,"Insulin signaling pathway",H00896,Lymphangioleiomyomatosis
hsa04115,"p53 signaling pathway",H00915,"Tuberous sclerosis complex"
hsa04150,"mTOR signaling pathway",H00915,"Tuberous sclerosis complex"
hsa04910,"Insulin signaling pathway",H00915,"Tuberous sclerosis complex"
hsa04115,"p53 signaling pathway",H01106,"Plasminogen activator inhibitor type 1 deficiency"
hsa04610,"Complement and coagulation cascades",H01106,"Plasminogen activator inhibitor type 1 deficiency"
hsa04120,"Ubiquitin mediated proteolysis",H00509,"3M syndrome"
hsa04120,"Ubiquitin mediated proteolysis",H00559,"von Hippel-Lindau syndrome"
hsa04120,"Ubiquitin mediated proteolysis",H00583,"Opitz-GBBB syndrome"
hsa04120,"Ubiquitin mediated proteolysis",H00658,"Syndromic X-linked mental retardation"
hsa04120,"Ubiquitin mediated proteolysis",H01232,"Syndromic multisystem autoimmune disease"
hsa04144,Endocytosis,H01232,"Syndromic multisystem autoimmune disease"
hsa04120,"Ubiquitin mediated proteolysis",H01289,"Mulibrey nanism"
hsa04120,"Ubiquitin mediated proteolysis",H01732,"Angelman syndrome"
hsa04120,"Ubiquitin mediated proteolysis",H02298,"Macrocephaly, dysmorphic facies, and psychomotor retardation"
hsa04130,"SNARE interactions in vesicular transport",H00244,Pseudohypoparathyroidism
hsa04130,"SNARE interactions in vesicular transport",H00799,"CEDNIK syndrome"
hsa04140,Autophagy,H02279,"Cathepsin D deficiency"
hsa04142,Lysosome,H02279,"Cathepsin D deficiency"
hsa04210,Apoptosis,H02279,"Cathepsin D deficiency"
hsa04141,"Protein processing in endoplasmic reticulum",H00221,"Combined deficiency of factors V and VIII"
hsa04141,"Protein processing in endoplasmic reticulum",H00545,"Polycystic liver disease"
hsa04141,"Protein processing in endoplasmic reticulum",H00740,"Ichthyosis follicularis, alopecia, and photophobia syndrome"
hsa04141,"Protein processing in endoplasmic reticulum",H00766,"Wolcott-Rallison syndrome"
hsa04141,"Protein processing in endoplasmic reticulum",H00854,"Wolfram syndrome"
hsa04141,"Protein processing in endoplasmic reticulum",H00917,"Congenital dyserythropoietic anemias (CDAs)"
hsa04141,"Protein processing in endoplasmic reticulum",H00927,"Chylomicron retention disease"
hsa04141,"Protein processing in endoplasmic reticulum",H01105,"Cranio-lenticulo-sutural dysplasia"
hsa04141,"Protein processing in endoplasmic reticulum",H01202,Cataract
hsa04141,"Protein processing in endoplasmic reticulum",H01284,"Marinesco-Sjogren syndrome"
hsa04141,"Protein processing in endoplasmic reticulum",H01478,"Machado-Joseph disease"
hsa04141,"Protein processing in endoplasmic reticulum",H01572,"Cole-Carpenter syndrome"
hsa04141,"Protein processing in endoplasmic reticulum",H02276,"Kufs disease"
hsa04142,Lysosome,H02276,"Kufs disease"
hsa04141,"Protein processing in endoplasmic reticulum",H02287,"Deafness, dystonia, and cerebral hypomyelination"
hsa04142,Lysosome,H00136,"Niemann-Pick disease type C"
hsa04142,Lysosome,H00143,"Mucolipidosis II"
hsa04142,Lysosome,H00144,"Mucolipidosis IV"
hsa04142,Lysosome,H00150,"Danon disease"
hsa04142,Lysosome,H00166,"Hermansky-Pudlak syndrome"
hsa04142,Lysosome,H00266,"Hereditary spastic paraplegia"
hsa04144,Endocytosis,H00266,"Hereditary spastic paraplegia"
hsa04142,Lysosome,H00272,"Multiple sulfatase deficiency"
hsa04142,Lysosome,H00273,Pycnodysostosis
hsa04620,"Toll-like receptor signaling pathway",H00273,Pycnodysostosis
hsa04142,Lysosome,H00274,"Papillon-Lefevre syndrome"
hsa04142,Lysosome,H00275,Cystinosis
hsa04142,Lysosome,H00276,Galactosialidosis
hsa04142,Lysosome,H00425,"Lysosomal cysteine protease deficiencies"
hsa04612,"Antigen processing and presentation",H00425,"Lysosomal cysteine protease deficiencies"
hsa04620,"Toll-like receptor signaling pathway",H00425,"Lysosomal cysteine protease deficiencies"
hsa04142,Lysosome,H00696,"Haim-Munk syndrome"
hsa04142,Lysosome,H00932,"Tropical calcific pancreatitis"
hsa04612,"Antigen processing and presentation",H00932,"Tropical calcific pancreatitis"
hsa04142,Lysosome,H01196,"Hypochromic microcytic anemia"
hsa04978,"Mineral absorption",H01196,"Hypochromic microcytic anemia"
hsa04142,Lysosome,H01239,"Combined SAP deficiency"
hsa04142,Lysosome,H01425,"Lysosomal storage disease"
hsa04142,Lysosome,H02050,"Prepubertal periodontitis"
hsa04142,Lysosome,H02130,"Mucolipidosis III"
hsa04142,Lysosome,H02220,"MEDNIK syndrome"
hsa04142,Lysosome,H02275,"Batten disease"
hsa04144,Endocytosis,H00155,"Familial hypercholesterolemia"
hsa04976,"Bile secretion",H00155,"Familial hypercholesterolemia"
hsa04144,Endocytosis,H00567,"Limb-girdle muscular dystrophy 1C"
hsa04510,"Focal adhesion",H00567,"Limb-girdle muscular dystrophy 1C"
hsa04144,Endocytosis,H01295,"Neurodegeneration due to cerebral folate transport deficiency"
hsa04144,Endocytosis,H01383,"Hyperlipoproteinemia type IIa"
hsa04913,"Ovarian steroidogenesis",H01383,"Hyperlipoproteinemia type IIa"
hsa04976,"Bile secretion",H01383,"Hyperlipoproteinemia type IIa"
hsa04144,Endocytosis,H01523,"Wiskott-Aldrich syndrome"
hsa04810,"Regulation of actin cytoskeleton",H01523,"Wiskott-Aldrich syndrome"
hsa04144,Endocytosis,H01918,"Familial autosomal recessive hypercholesterolemia"
hsa04144,Endocytosis,H02179,"Rippling muscle disease"
hsa04510,"Focal adhesion",H02179,"Rippling muscle disease"
hsa04144,Endocytosis,H02181,"Idiopathic hyperCKemia"
hsa04510,"Focal adhesion",H02181,"Idiopathic hyperCKemia"
hsa04144,Endocytosis,H02182,"Distal myopathy, Tateyama type"
hsa04510,"Focal adhesion",H02182,"Distal myopathy, Tateyama type"
hsa04145,Phagosome,H00751,"Asphyxiating thoracic dystrophy"
hsa04962,"Vasopressin-regulated water reabsorption",H00751,"Asphyxiating thoracic dystrophy"
hsa04145,Phagosome,H00838,"Congenital fibrosis of the extraocular muscles"
hsa04540,"Gap junction",H00838,"Congenital fibrosis of the extraocular muscles"
hsa04145,Phagosome,H01240,"Immune thrombocytopenia"
hsa04380,"Osteoclast differentiation",H01240,"Immune thrombocytopenia"
hsa04666,"Fc gamma R-mediated phagocytosis",H01240,"Immune thrombocytopenia"
hsa04145,Phagosome,H01255,"Juvenile-onset dystonia"
hsa04510,"Focal adhesion",H01255,"Juvenile-onset dystonia"
hsa04520,"Adherens junction",H01255,"Juvenile-onset dystonia"
hsa04530,"Tight junction",H01255,"Juvenile-onset dystonia"
hsa04670,"Leukocyte transendothelial migration",H01255,"Juvenile-onset dystonia"
hsa04810,"Regulation of actin cytoskeleton",H01255,"Juvenile-onset dystonia"
hsa04145,Phagosome,H02025,"Myeloperoxidase deficiency"
hsa04146,Peroxisome,H00075,"Refsum disease"
hsa04146,Peroxisome,H00177,"Neonatal adrenoleukodystrophy"
hsa04146,Peroxisome,H00205,"Peroxisome biogenesis disorder"
hsa04146,Peroxisome,H01155,"Roussy-Levy syndrome"
hsa04514,"Cell adhesion molecules (CAMs)",H01155,"Roussy-Levy syndrome"
hsa04146,Peroxisome,H01342,"Zellweger syndrome"
hsa04146,Peroxisome,H02100,"Peroxisomal fatty acyl-CoA reductase 1 disorder"
hsa04150,"mTOR signaling pathway",H00666,"Peutz-Jeghers syndrome"
hsa04920,"Adipocytokine signaling pathway",H00666,"Peutz-Jeghers syndrome"
hsa04150,"mTOR signaling pathway",H00818,"Birt-Hogg-Dube syndrome"
hsa04150,"mTOR signaling pathway",H01112,"Polyhydramnios, megalencephaly, and symptomatic epilepsy"
hsa04150,"mTOR signaling pathway",H01251,"Focal cortical dysplasia of Taylor"
hsa04910,"Insulin signaling pathway",H01251,"Focal cortical dysplasia of Taylor"
hsa04150,"mTOR signaling pathway",H01691,"Renal angiomyolipoma"
hsa04150,"mTOR signaling pathway",H01692,"Subependymal giant cell astrocytoma"
hsa04150,"mTOR signaling pathway",H01885,"Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome"
hsa04150,"mTOR signaling pathway",H01909,"Hypoinsulinemic hypoglycemia with hemihypertrophy"
hsa04151,"PI3K-Akt signaling pathway",H01909,"Hypoinsulinemic hypoglycemia with hemihypertrophy"
hsa04150,"mTOR signaling pathway",H01912,"Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi"
hsa04151,"PI3K-Akt signaling pathway",H01912,"Congenital lipomatous overgrowth, vascular malformations, and epidermal nevi"
hsa04150,"mTOR signaling pathway",H01928,"Smith-Kingsmore syndrome"
hsa04150,"mTOR signaling pathway",H02111,Autism
hsa04310,"Wnt signaling pathway",H02111,Autism
hsa04514,"Cell adhesion molecules (CAMs)",H02111,Autism
hsa04724,"Glutamatergic synapse",H02111,Autism
hsa04150,"mTOR signaling pathway",H02119,"Proteus syndrome"
hsa04151,"PI3K-Akt signaling pathway",H02119,"Proteus syndrome"
hsa04150,"mTOR signaling pathway",H02153,"Megalencephaly-capillary malformation syndrome"
hsa04150,"mTOR signaling pathway",H02214,"Familial focal epilepsy with variable foci"
hsa04150,"mTOR signaling pathway",H02219,"DDOD syndrome"
hsa04721,"Synaptic vesicle cycle",H02219,"DDOD syndrome"
hsa04150,"mTOR signaling pathway",H02297,"CLAPO syndrome"
hsa04151,"PI3K-Akt signaling pathway",H02297,"CLAPO syndrome"
hsa04151,"PI3K-Akt signaling pathway",H00520,"Type II collagenopathies"
hsa04510,"Focal adhesion",H00520,"Type II collagenopathies"
hsa04512,"ECM-receptor interaction",H00520,"Type II collagenopathies"
hsa04151,"PI3K-Akt signaling pathway",H01338,Myosclerosis
hsa04510,"Focal adhesion",H01338,Myosclerosis
hsa04512,"ECM-receptor interaction",H01338,Myosclerosis
hsa04151,"PI3K-Akt signaling pathway",H01340,"Bethlem myopathy"
hsa04510,"Focal adhesion",H01340,"Bethlem myopathy"
hsa04512,"ECM-receptor interaction",H01340,"Bethlem myopathy"
hsa04151,"PI3K-Akt signaling pathway",H01341,"Collagen VI myopathy"
hsa04510,"Focal adhesion",H01341,"Collagen VI myopathy"
hsa04512,"ECM-receptor interaction",H01341,"Collagen VI myopathy"
hsa04151,"PI3K-Akt signaling pathway",H01370,"SHORT syndrome"
hsa04151,"PI3K-Akt signaling pathway",H01388,Hyperprolactinemia
hsa04630,"JAK-STAT signaling pathway",H01388,Hyperprolactinemia
hsa04917,"Prolactin signaling pathway",H01388,Hyperprolactinemia
hsa04151,"PI3K-Akt signaling pathway",H01511,"Mast-cell leukemia"
hsa04151,"PI3K-Akt signaling pathway",H01740,Macrothrombocytopenia
hsa04510,"Focal adhesion",H01740,Macrothrombocytopenia
hsa04611,"Platelet activation",H01740,Macrothrombocytopenia
hsa04810,"Regulation of actin cytoskeleton",H01740,Macrothrombocytopenia
hsa04151,"PI3K-Akt signaling pathway",H01778,"Ullrich disease"
hsa04510,"Focal adhesion",H01778,"Ullrich disease"
hsa04512,"ECM-receptor interaction",H01778,"Ullrich disease"
hsa04151,"PI3K-Akt signaling pathway",H01910,"Infantile myofibromatosis"
hsa04330,"Notch signaling pathway",H01910,"Infantile myofibromatosis"
hsa04151,"PI3K-Akt signaling pathway",H02040,"Insulin-like growth factor I deficiency"
hsa04151,"PI3K-Akt signaling pathway",H02066,"Achondrogenesis type II"
hsa04510,"Focal adhesion",H02066,"Achondrogenesis type II"
hsa04512,"ECM-receptor interaction",H02066,"Achondrogenesis type II"
hsa04151,"PI3K-Akt signaling pathway",H02070,"Kniest dysplasia"
hsa04510,"Focal adhesion",H02070,"Kniest dysplasia"
hsa04512,"ECM-receptor interaction",H02070,"Kniest dysplasia"
hsa04151,"PI3K-Akt signaling pathway",H02071,"Czech dysplasia"
hsa04510,"Focal adhesion",H02071,"Czech dysplasia"
hsa04512,"ECM-receptor interaction",H02071,"Czech dysplasia"
hsa04151,"PI3K-Akt signaling pathway",H02072,"Stickler syndrome"
hsa04510,"Focal adhesion",H02072,"Stickler syndrome"
hsa04512,"ECM-receptor interaction",H02072,"Stickler syndrome"
hsa04152,"AMPK signaling pathway",H01956,"Glycogen storage disease of heart"
hsa04910,"Insulin signaling pathway",H01956,"Glycogen storage disease of heart"
hsa04922,"Glucagon signaling pathway",H01956,"Glycogen storage disease of heart"
hsa04210,Apoptosis,H00108,"Autoimmune lymphoproliferative syndromes"
hsa04210,Apoptosis,H00721,"Pyogenic bacterial infections, recurrent, due to MYD88 deficiency"
hsa04620,"Toll-like receptor signaling pathway",H00721,"Pyogenic bacterial infections, recurrent, due to MYD88 deficiency"
hsa04210,Apoptosis,H01969,"X-linked lymphoproliferative syndrome"
hsa04650,"Natural killer cell mediated cytotoxicity",H01969,"X-linked lymphoproliferative syndrome"
hsa04210,Apoptosis,H02344,"Cowchock syndrome"
hsa04217,Necroptosis,H02344,"Cowchock syndrome"
hsa04217,Necroptosis,H01900,"Encephalopathy due to defective mitochondrial and peroxisomal fission"
hsa04621,"NOD-like receptor signaling pathway",H01900,"Encephalopathy due to defective mitochondrial and peroxisomal fission"
hsa04668,"TNF signaling pathway",H01900,"Encephalopathy due to defective mitochondrial and peroxisomal fission"
hsa04260,"Cardiac muscle contraction",H00656,"Scapuloperoneal myopathy"
hsa04530,"Tight junction",H00656,"Scapuloperoneal myopathy"
hsa04260,"Cardiac muscle contraction",H00698,"Nemaline myopathy"
hsa04360,"Axon guidance",H00698,"Nemaline myopathy"
hsa04666,"Fc gamma R-mediated phagocytosis",H00698,"Nemaline myopathy"
hsa04810,"Regulation of actin cytoskeleton",H00698,"Nemaline myopathy"
hsa04260,"Cardiac muscle contraction",H00701,"Congenital fiber type disproportion"
hsa04260,"Cardiac muscle contraction",H00702,"Cap myopathy"
hsa04260,"Cardiac muscle contraction",H00703,"Myosin storage myopathy"
hsa04530,"Tight junction",H00703,"Myosin storage myopathy"
hsa04260,"Cardiac muscle contraction",H00811,"Distal arthrogryposis"
hsa04530,"Tight junction",H00811,"Distal arthrogryposis"
hsa04260,"Cardiac muscle contraction",H01216,"Left ventricular noncompaction"
hsa04260,"Cardiac muscle contraction",H01219,"Restrictive cardiomyopathy"
hsa04261,"Adrenergic signaling in cardiomyocytes",H00720,"Long QT syndrome"
hsa04921,"Oxytocin signaling pathway",H00720,"Long QT syndrome"
hsa04261,"Adrenergic signaling in cardiomyocytes",H00731,"Atrial fibrillation"
hsa04270,"Vascular smooth muscle contraction",H00731,"Atrial fibrillation"
hsa04261,"Adrenergic signaling in cardiomyocytes",H02091,"Jervell and Lange-Nielsen syndrome"
hsa04270,"Vascular smooth muscle contraction",H01258,"Generalized epilepsy and paroxysmal dyskinesia"
hsa04270,"Vascular smooth muscle contraction",H01396,"Moyamoya disease"
hsa04270,"Vascular smooth muscle contraction",H01630,"Patent ductus arteriosus"
hsa04310,"Wnt signaling pathway",H00450,"Worth type autosomal dominant osteosclerosis"
hsa04310,"Wnt signaling pathway",H00451,"Osteoporosis-pseudoglioma syndrome"
hsa04310,"Wnt signaling pathway",H00485,"Robinow syndrome"
hsa04310,"Wnt signaling pathway",H00486,Sclerosteosis
hsa04310,"Wnt signaling pathway",H00589,"Familial exudative vitreoretinopathy"
hsa04310,"Wnt signaling pathway",H00600,"Mullerian agenesis"
hsa04310,"Wnt signaling pathway",H00625,"Tooth agenesis"
hsa04310,"Wnt signaling pathway",H00636,Tetra-amelia
hsa04310,"Wnt signaling pathway",H00646,"Odontoonychodermal dysplasia"
hsa04340,"Hedgehog signaling pathway",H00646,"Odontoonychodermal dysplasia"
hsa04916,Melanogenesis,H00646,"Odontoonychodermal dysplasia"
hsa04310,"Wnt signaling pathway",H00681,"Acne inversa"
hsa04330,"Notch signaling pathway",H00681,"Acne inversa"
hsa04722,"Neurotrophin signaling pathway",H00681,"Acne inversa"
hsa04310,"Wnt signaling pathway",H00857,"Oligodontia-colorectal cancer syndrome"
hsa04310,"Wnt signaling pathway",H00934,"Caudal duplication anomaly"
hsa04310,"Wnt signaling pathway",H00947,Pilomatricoma
hsa04510,"Focal adhesion",H00947,Pilomatricoma
hsa04520,"Adherens junction",H00947,Pilomatricoma
hsa04530,"Tight junction",H00947,Pilomatricoma
hsa04670,"Leukocyte transendothelial migration",H00947,Pilomatricoma
hsa04916,Melanogenesis,H00947,Pilomatricoma
hsa04310,"Wnt signaling pathway",H00949,"Focal dermal hypoplasia"
hsa04310,"Wnt signaling pathway",H00979,"Caudal regression syndrome and Sirenomelia"
hsa04310,"Wnt signaling pathway",H01037,"Vesicoureteral reflux"
hsa04310,"Wnt signaling pathway",H01667,Medulloblastoma
hsa04340,"Hedgehog signaling pathway",H01667,Medulloblastoma
hsa04310,"Wnt signaling pathway",H01774,"Hyperostosis corticalis generalisata"
hsa04310,"Wnt signaling pathway",H02302,Hepatoblastoma
hsa04310,"Wnt signaling pathway",H02317,"SERKAL syndrome"
hsa04310,"Wnt signaling pathway",H02318,"Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal"
hsa04310,"Wnt signaling pathway",H02326,"Keipert syndrome"
hsa04330,"Notch signaling pathway",H00517,"Spondylocostal dysostosis"
hsa04330,"Notch signaling pathway",H00536,"Cerebral autosomal dominant arteriopathy with subcortical infarcts and leucoencephalopathy (CADASIL)"
hsa04330,"Notch signaling pathway",H00549,"Tetralogy of Fallot"
hsa04330,"Notch signaling pathway",H00551,"Alagille syndrome"
hsa04330,"Notch signaling pathway",H00554,"Bicuspid aortic valve"
hsa04350,"TGF-beta signaling pathway",H00554,"Bicuspid aortic valve"
hsa04330,"Notch signaling pathway",H00623,"Hajdu-Cheney syndrome"
hsa04330,"Notch signaling pathway",H01413,"Adams-Oliver syndrome"
hsa04658,"Th1 and Th2 cell differentiation",H01413,"Adams-Oliver syndrome"
hsa04330,"Notch signaling pathway",H01508,"Salivary gland cancer"
hsa04330,"Notch signaling pathway",H01893,"Lateral meningocele syndrome"
hsa04340,"Hedgehog signaling pathway",H00263,"Acrocallosal syndrome"
hsa04340,"Hedgehog signaling pathway",H00267,Holoprosencephaly
hsa04340,"Hedgehog signaling pathway",H00482,Brachydactyly
hsa04350,"TGF-beta signaling pathway",H00482,Brachydactyly
hsa04340,"Hedgehog signaling pathway",H00502,"Pallister-Hall syndrome"
hsa04340,"Hedgehog signaling pathway",H00503,"Ellis-van Creveld syndrome"
hsa04340,"Hedgehog signaling pathway",H00652,"Solitary median maxillary central incisor syndrome"
hsa04340,"Hedgehog signaling pathway",H00675,"Acrocapitofemoral dysplasia"
hsa04340,"Hedgehog signaling pathway",H00855,"Triphalangeal thumb-polysyndactyly syndrome"
hsa04340,"Hedgehog signaling pathway",H00886,"Donnai-Barrow syndrome"
hsa04340,"Hedgehog signaling pathway",H00895,"Basal cell nevus syndrome"
hsa04340,"Hedgehog signaling pathway",H01160,Schizencephaly
hsa04340,"Hedgehog signaling pathway",H01226,Polysyndactyly
hsa04340,"Hedgehog signaling pathway",H02158,"Weyers acrodental dysostosis"
hsa04340,"Hedgehog signaling pathway",H02161,"Greig cephalopolysyndactyly syndrome"
hsa04340,"Hedgehog signaling pathway",H02332,"Preaxial polydactyly"
hsa04350,"TGF-beta signaling pathway",H00430,"Fibrodysplasia ossificans progressiva"
hsa04350,"TGF-beta signaling pathway",H00431,"Ossification of the posterior longitudinal ligament of spine"
hsa04350,"TGF-beta signaling pathway",H00434,"Camurati-Engelmann disease"
hsa04350,"TGF-beta signaling pathway",H00466,"Grebe dysplasia"
hsa04350,"TGF-beta signaling pathway",H00467,"Fibular hypoplasia and complex brachydactyly"
hsa04350,"TGF-beta signaling pathway",H00468,"Acromesomelic dysplasia, Demirhan type"
hsa04350,"TGF-beta signaling pathway",H00483,"Angel shaped phalangoepiphyseal dysplasia"
hsa04350,"TGF-beta signaling pathway",H00533,"Hereditary hemorrhagic telangiectasia"
hsa04350,"TGF-beta signaling pathway",H00620,"Axenfeld-Rieger syndrome"
hsa04350,"TGF-beta signaling pathway",H00778,"Tarsal-carpal coalition syndrome"
hsa04350,"TGF-beta signaling pathway",H00852,"Klippel-Feil syndrome"
hsa04350,"TGF-beta signaling pathway",H00868,"Stapes ankylosis with broad thumb and toes"
hsa04350,"TGF-beta signaling pathway",H00958,"Congenital stromal corneal dystrophy"
